0,description,topic,tech
Free and Open Source Silicon Foundation,Working together for Free and Open Source Silicon,"['hardware', 'debug', 'web services', 'simulation', 'electronic design tools']","['verilog', 'risc-v', 'compiler', 'web development']"
LibreCube Initiative,Open Source Space and Earth Exploration,"['space', 'cubesat', 'mission control', 'Communication Protocols']","['python', 'mongodb', 'rest', 'micropython', 'zmq']"
The Mifos Initiative,End Poverty One Line of Code at a Time,"['cloud', 'ai', 'fintech', 'financial inclusion', 'mobile banking']","['android', 'java', 'kotlin', 'spring', 'angular']"
The FreeBSD Project,FreeBSD: An OS for servers to embedded systems,"['virtualization', 'operating system', 'Embedded System']","['c', 'llvm', 'assembly', 'make', 'POSIX shell']"
ScummVM,Adventure and RPG preservation project,"['games', 'game engines', 'software preservation', 'software archeology']","['opengl', 'lua', 'c++', 'assembly', 'sdl']"
GeomScale,Scalable geometric and statistical software,"['mathematics', 'data science', 'computational biology', 'computational geometry', 'statistics']","['python', 'c++', 'r', 'jupyter', 'github-actions']"
Jenkins,"Jenkins, build great things at any scale","['developer tools', 'automation', 'continuous integration', 'continuous delivery', 'devops']","['javascript', 'java', 'go', 'docker', 'kubernetes']"
TensorFlow,TensorFlow is a ML framework for everyone.,"['education', 'research', 'machine learning']","['machine learning', 'tensorflow', 'ai', 'Jax', 'keras']"
Sugar Labs,Learning software for children,"['education', 'games', 'desktop']","['python', 'gtk', 'typescript', 'javascipt']"
Chromium,"Fast, seamless, safe, and reliable web for all","['web', 'browser', 'operating-system']","['python', 'javascript', 'java', 'c++', 'git']"
Robolectric,Fast unit testing runtime for Android,"['testing', 'mobile']","['android', 'java', 'jvm', 'asm']"
RoboComp,Open-source framework to develop robot components,"['robotics', 'computer vision', 'component-based development', 'Multi-agent Systems']","['python', 'opencv', 'c++', 'qt', 'pytorch']"
Joomla!,The flexible platform empowering website creators.,"['web', 'programming languages', 'web development', 'web applications', 'cms']","['mysql', 'javascript', 'html', 'php', 'css']"
GNOME Foundation,A diverse and sustainable free software desktop.,"['operating systems', 'desktop', 'graphics', 'open source', 'apps']","['c', 'linux', 'rust', 'gtk', 'Flatpak']"
Swift,"Fast, safe, and expressive programming language","['compilers', 'cross-platform', 'Packages', 'Server development', 'Standard Libraries']","['c++', 'cmake', 'swift']"
FFmpeg,"Record, convert and stream audio & video","['audio', 'video', 'subtitles', 'multimedia']","['c', 'git', 'asm']"
The Julia Language,A fresh approach to technical computing,"['math', 'machine learning', 'science', 'data science', 'graphs']","['machine learning', 'julia', 'data science', 'gui', 'models']"
AboutCode,"Scan code for origin, license and vulnerabilities","['dependencies', 'vulnerabilities', 'SoftwareCompositionAnalysis', 'License', 'SBOM']","['python', 'javascript', 'Django+PostgreSQL', 'C/Rust/Go']"
Flashrom,"Reading, writing, verifying, erasing flash chips","['hardware', 'drivers', 'firmware', 'flash chips', 'low level programming']","['c', 'x86', 'bios', 'rom', 'spi']"
