0,description,topic,tech
Red Hen Lab,Research on Multimodal Communication,"['data science', 'media', 'language', 'multimodal communication', 'gesture']","['python', 'machine learning', 'computer vision', 'nlp', 'data science']"
syslog-ng,"Enhanced log daemon, w/ wide range of I/O methods","['cloud', 'data processing pipeline', 'reliable log transfer', 'logging', 'high-performance data processing']","['c', 'python', 'sql', 'elasticsearch', 'kafka']"
GNU Compiler Collection (GCC),GNU compilers,"['compilers', 'developer tools', 'toolchain', 'openmp', 'link time optimization']","['c/c++', 'gnu make', 'gnu autotools']"
Apache Software Foundation,Open source software to the public free of charge,"['big data', 'cloud', 'libraries', 'other']","['c', 'java', 'c++']"
Society for Arts and Technology (SAT),Create teleimmersive multisensorial experiences.,"['web', 'graphics', 'cloud', 'multimedia', 'accessibility']","['python', 'javascript', 'opengl', 'c++', 'supercollider']"
CNCF,Building sustainable ecosystems for cloud native,"['cloud', 'cloud native', 'observability']","['prometheus', 'kubernetes', 'OpenTelemetry', 'envoy']"
Genome Assembly and Annotation,Providing freely accessible genomic data,"['machine learning', 'genomics', 'big data', 'cloud', 'hpc']","['python', 'mysql', 'docker', 'pytorch', 'nextflow']"
Open Robotics,Development of open source robotics,"['robotics', 'simulation']","['ros', 'gazebo', 'ignition', 'Open-RMF']"
PEcAn Project,Develop and promote tools for ecosystem modeling,"['data science', 'ecosystem models', 'scientific visualization', 'climate science', 'Ecological Forecasting,']","['r', 'docker', 'api', 'geospatial']"
Purr Data,Realtime Audio/Visual Programming Environment,"['web', 'graphics', 'audio', 'realtime']","['c', 'javascript', 'html5', 'Emscripten']"
Gentoo Foundation,"A flexible, source-based Linux distribution.","['operating systems', 'security', 'embedded', 'init', 'package']","['c', 'python', 'shell', 'linux', 'bash']"
